,State,T_count
0,andaman-&-nicobar-islands,4200
1,andaman-&-nicobar-islands,1871
2,andaman-&-nicobar-islands,298
3,andaman-&-nicobar-islands,33
4,andaman-&-nicobar-islands,256
5,andaman-&-nicobar-islands,6735
6,andaman-&-nicobar-islands,3575
7,andaman-&-nicobar-islands,603
8,andaman-&-nicobar-islands,59
9,andaman-&-nicobar-islands,368
10,andaman-&-nicobar-islands,8636
11,andaman-&-nicobar-islands,6448
12,andaman-&-nicobar-islands,945
13,andaman-&-nicobar-islands,42
14,andaman-&-nicobar-islands,194
15,andaman-&-nicobar-islands,11517
16,andaman-&-nicobar-islands,10451
17,andaman-&-nicobar-islands,1421
18,andaman-&-nicobar-islands,29
19,andaman-&-nicobar-islands,340
20,andaman-&-nicobar-islands,15263
21,andaman-&-nicobar-islands,13119
22,andaman-&-nicobar-islands,1759
23,andaman-&-nicobar-islands,62
24,andaman-&-nicobar-islands,283
25,andaman-&-nicobar-islands,14676
26,andaman-&-nicobar-islands,14481
27,andaman-&-nicobar-islands,4031
28,andaman-&-nicobar-islands,124
29,andaman-&-nicobar-islands,377
30,andaman-&-nicobar-islands,16219
31,andaman-&-nicobar-islands,13767
32,andaman-&-nicobar-islands,3519
33,andaman-&-nicobar-islands,50
34,andaman-&-nicobar-islands,215
35,andaman-&-nicobar-islands,18128
36,andaman-&-nicobar-islands,13851
37,andaman-&-nicobar-islands,2920
38,andaman-&-nicobar-islands,60
39,andaman-&-nicobar-islands,200
40,andaman-&-nicobar-islands,18324
41,andaman-&-nicobar-islands,18268
42,andaman-&-nicobar-islands,4424
43,andaman-&-nicobar-islands,66
44,andaman-&-nicobar-islands,216
45,andaman-&-nicobar-islands,38125
46,andaman-&-nicobar-islands,20303
47,andaman-&-nicobar-islands,4004
48,andaman-&-nicobar-islands,175
49,andaman-&-nicobar-islands,355
50,andaman-&-nicobar-islands,59310
51,andaman-&-nicobar-islands,40697
52,andaman-&-nicobar-islands,16096
53,andaman-&-nicobar-islands,572
54,andaman-&-nicobar-islands,808
55,andaman-&-nicobar-islands,81439
56,andaman-&-nicobar-islands,80811
57,andaman-&-nicobar-islands,59391
58,andaman-&-nicobar-islands,965
59,andaman-&-nicobar-islands,1925
60,andaman-&-nicobar-islands,105458
61,andaman-&-nicobar-islands,84119
62,andaman-&-nicobar-islands,53090
63,andaman-&-nicobar-islands,884
64,andaman-&-nicobar-islands,1201
65,andaman-&-nicobar-islands,132772
