index,State,T_count
0,andaman-&-nicobar-islands,135980782007
1,andhra-pradesh,135980782007
2,arunachal-pradesh,135980782007
3,assam,135980782007
4,bihar,135980782007
5,chandigarh,135980782007
6,chhattisgarh,135980782007
7,dadra-&-nagar-haveli-&-daman-&-diu,135980782007
8,delhi,135980782007
9,goa,135980782007
10,gujarat,135980782007
11,haryana,135980782007
12,himachal-pradesh,135980782007
13,jammu-&-kashmir,135980782007
14,jharkhand,135980782007
15,karnataka,135980782007
16,kerala,135980782007
17,ladakh,135980782007
18,lakshadweep,135980782007
19,madhya-pradesh,135980782007
20,maharashtra,135980782007
21,manipur,135980782007
22,meghalaya,135980782007
23,mizoram,135980782007
24,nagaland,135980782007
25,odisha,135980782007
26,puducherry,135980782007
27,punjab,135980782007
28,rajasthan,135980782007
29,sikkim,135980782007
30,tamil-nadu,135980782007
31,telangana,135980782007
32,tripura,135980782007
33,uttar-pradesh,135980782007
34,uttarakhand,135980782007
35,west-bengal,135980782007
